Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
11,Lung,10000,Bulgaria,1,1,1964,35.7247734,39.61421883,,1615
11,Lung,10000,Bulgaria,1,1,1965,37.44765966,42.31248561,,1739
11,Lung,10000,Bulgaria,1,1,1966,38.2558698,43.87482563,,1817
11,Lung,10000,Bulgaria,1,1,1967,35.99674367,42.29063737,,1764
11,Lung,10000,Bulgaria,1,1,1968,36.1233402,43.10085147,,1810
11,Lung,10000,Bulgaria,1,1,1969,35.18803684,42.8715111,,1812
11,Lung,10000,Bulgaria,1,1,1970,33.57184133,41.71485195,,1774
11,Lung,10000,Bulgaria,1,1,1971,36.69148164,46.1450746,,1974
11,Lung,10000,Bulgaria,1,1,1972,35.78489283,45.42341645,,1954
11,Lung,10000,Bulgaria,1,1,1973,37.72621293,48.56435668,,2100
11,Lung,10000,Bulgaria,1,1,1974,35.84913826,46.47148184,,2019
11,Lung,10000,Bulgaria,1,1,1975,34.81697809,46.02580471,,2008
11,Lung,10000,Bulgaria,1,1,1976,35.40052488,47.16472618,,2065
11,Lung,10000,Bulgaria,1,1,1977,35.64312178,47.61788729,,2091
11,Lung,10000,Bulgaria,1,1,1978,34.729706,46.88481736,,2064
11,Lung,10000,Bulgaria,1,1,1979,36.60908266,49.58625618,,2188
11,Lung,10000,Bulgaria,1,1,1980,33.61523727,46.03719471,,2036
11,Lung,10000,Bulgaria,1,1,1981,37.21587595,50.94289477,,2258
11,Lung,10000,Bulgaria,1,1,1982,38.30390282,53.17957337,,2362
11,Lung,10000,Bulgaria,1,1,1983,39.90927182,55.11708897,,2452
11,Lung,10000,Bulgaria,1,1,1984,40.03720434,55.70279862,,2480
11,Lung,10000,Bulgaria,1,1,1985,39.81090378,55.81111935,,2484
11,Lung,10000,Bulgaria,1,1,1986,40.75456535,57.78107184,,2568
11,Lung,10000,Bulgaria,1,1,1987,41.09904404,58.91962344,,2612
11,Lung,10000,Bulgaria,1,1,1988,40.45335721,58.1314509,,2567
11,Lung,10000,Bulgaria,1,1,1989,41.5474112,59.98796141,,2634
11,Lung,10000,Bulgaria,1,1,1990,40.6149185,59.27776141,,2583
11,Lung,10000,Bulgaria,1,1,1991,40.33351242,59.35268263,,2561
11,Lung,10000,Bulgaria,1,1,1992,42.45743086,63.29195554,,2699
11,Lung,10000,Bulgaria,1,1,1993,42.14146009,63.69384382,,2681
11,Lung,10000,Bulgaria,1,1,1994,43.76895523,66.65965324,,2769
11,Lung,10000,Bulgaria,1,1,1995,42.57278946,65.79763728,,2699
11,Lung,10000,Bulgaria,1,1,1996,42.17129472,65.48158562,,2655
11,Lung,10000,Bulgaria,1,1,1997,40.76394199,63.79543181,,2559
11,Lung,10000,Bulgaria,1,1,1998,38.99328501,61.56409048,,2445
11,Lung,10000,Bulgaria,1,1,1999,40.12666703,63.95630229,,2516
11,Lung,10000,Bulgaria,1,1,2000,37.6786073,61.13868296,,2383
11,Lung,10000,Bulgaria,1,1,2001,38.06106642,62.38918477,,2410
11,Lung,10000,Bulgaria,1,1,2002,39.75160354,65.01536347,,2490
11,Lung,10000,Bulgaria,1,1,2003,41.14806129,68.0514411,,2585
11,Lung,10000,Bulgaria,1,1,2004,40.56315341,69.27719554,,2611
11,Lung,10000,Bulgaria,1,1,2005,44.20283721,75.54832687,,2826
11,Lung,10000,Bulgaria,1,1,2006,43.54324082,74.77751871,,2777
11,Lung,10000,Bulgaria,1,1,2007,43.50875339,75.7619102,,2794
11,Lung,10000,Bulgaria,1,1,2008,44.67672959,78.54125655,,2877
11,Lung,10000,Bulgaria,1,1,2009,41.65334876,74.11323799,,2697
11,Lung,10000,Bulgaria,1,1,2010,41.89385267,75.36718339,,2725
11,Lung,10000,Bulgaria,1,1,2011,41.62399442,75.2895726,,2705
11,Lung,10000,Bulgaria,1,1,2012,43.92026923,80.91611948,,2889
11,Lung,10000,Bulgaria,1,1,2013,44.38324451,83.40001483,,2959
11,Lung,10000,Bulgaria,1,1,2014,40.90374468,77.89723975,,2746
11,Lung,10000,Bulgaria,1,1,2015,40.69480085,77.59234689,,2717
11,Lung,10000,Bulgaria,1,1,2016,38.78549142,76.26808635,,2652
11,Lung,10000,Bulgaria,1,1,2017,38.37420391,75.8703142,,2619
11,Lung,10000,Bulgaria,1,1,2018,36.93680631,74.13701162,,2540
11,Lung,10000,Bulgaria,2,1,1964,7.778043191,9.850490625,,402
11,Lung,10000,Bulgaria,2,1,1965,6.726387643,8.388670189,,345
11,Lung,10000,Bulgaria,2,1,1966,6.637824202,8.496008566,,352
11,Lung,10000,Bulgaria,2,1,1967,7.057640229,8.987723489,,375
11,Lung,10000,Bulgaria,2,1,1968,6.57595777,8.617900618,,362
11,Lung,10000,Bulgaria,2,1,1969,6.362906688,8.561965808,,362
11,Lung,10000,Bulgaria,2,1,1970,5.966319935,8.131879341,,346
11,Lung,10000,Bulgaria,2,1,1971,5.74032974,8.01173123,,343
11,Lung,10000,Bulgaria,2,1,1972,6.487974637,8.962333587,,386
11,Lung,10000,Bulgaria,2,1,1973,6.436886476,9.119141702,,395
11,Lung,10000,Bulgaria,2,1,1974,6.22381205,9.23167226,,402
11,Lung,10000,Bulgaria,2,1,1975,5.709980514,8.181705159,,358
11,Lung,10000,Bulgaria,2,1,1976,5.944735674,8.897922847,,391
11,Lung,10000,Bulgaria,2,1,1977,6.315108412,9.363610064,,413
11,Lung,10000,Bulgaria,2,1,1978,5.472648736,8.247186015,,365
11,Lung,10000,Bulgaria,2,1,1979,6.339782539,9.705690147,,431
11,Lung,10000,Bulgaria,2,1,1980,5.67982131,8.841463141,,394
11,Lung,10000,Bulgaria,2,1,1981,5.691126835,9.166757403,,410
11,Lung,10000,Bulgaria,2,1,1982,5.278703568,8.308917072,,373
