"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Barbados,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,616.38,635.96,683.34,801.93,938.41,959.41,"1,026.71","1,042.76","1,136.73","1,165.94","1,117.03","1,166.43","1,298.26","1,266.21","1,184.38","1,148.70","1,158.16","1,180.76","1,193.49","1,171.26","1,199.71",..,..
Belarus,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.50,71.50,83.74,105.66,137.28,190.86,215.72,271.20,339.69,281.03,332.70,310.15,355.43,443.89,438.05,352.99,290.55,324.69,342.21,390.25,408.09,..,..
Belgium,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,849.92","1,879.93","2,084.72","2,814.88","3,312.74","3,405.89","3,545.93","4,064.88","4,653.51","4,638.44","4,531.03","4,930.14","4,694.46","4,941.97","5,063.93","4,432.70","4,529.79","4,761.87","5,142.37","4,983.66","5,009.46",..,..
Belize,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,136.52,162.07,170.58,171.86,172.95,176.54,191.04,227.64,250.87,242.10,242.62,253.36,246.75,258.76,293.15,283.95,296.56,282.96,286.60,303.53,277.99,..,..
Benin,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.61,16.52,17.18,21.22,24.12,23.65,24.89,27.34,29.64,30.00,30.26,34.04,37.99,34.71,33.38,27.91,25.93,28.52,29.66,27.17,32.13,..,..
Bermuda,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.09,35.97,35.96,37.33,46.10,46.69,54.01,64.44,57.31,59.43,71.99,77.32,83.64,85.99,86.81,96.52,97.18,103.39,101.70,115.32,133.70,..,..
Bolivia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.96,44.92,43.49,46.38,46.29,51.67,55.93,63.46,77.74,89.27,99.99,119.24,134.63,159.09,178.21,194.92,205.92,212.88,229.23,239.18,241.12,..,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106.29,104.88,118.69,168.28,222.18,241.77,281.62,364.37,459.78,409.51,406.17,456.80,444.42,474.19,492.21,430.13,449.41,469.77,527.81,543.98,591.41,..,..
Botswana,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,195.30,191.82,194.56,253.96,279.18,263.34,250.92,296.57,315.27,326.95,378.65,415.58,405.96,418.32,402.46,358.22,369.84,444.56,419.65,408.90,362.73,..,..
Brazil,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,310.61,268.65,245.66,250.31,294.38,383.55,483.92,600.64,705.13,719.43,893.78,"1,028.08",953.70,977.82,"1,013.57",782.52,795.94,937.34,863.28,850.43,700.71,..,..
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,507.39,463.82,472.30,534.14,617.52,643.33,650.22,695.65,778.06,729.13,788.50,860.08,867.06,834.31,785.59,732.39,681.97,639.92,753.81,674.65,650.48,..,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.52,119.83,148.15,195.74,233.11,267.74,294.11,361.23,455.54,459.30,484.75,555.86,558.65,547.45,605.26,521.42,562.34,624.53,689.91,697.90,856.70,..,..
Burkina Faso,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.37,7.52,8.52,11.44,17.10,17.50,20.65,27.05,28.90,30.69,32.87,33.82,33.78,42.41,38.37,32.44,39.65,43.07,39.00,41.07,54.18,..,..
Burundi,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.52,8.68,8.03,7.22,9.90,12.74,16.53,18.06,17.98,21.10,25.11,23.81,20.31,20.62,18.59,18.20,19.47,20.70,19.55,16.59,16.42,..,..
Cabo Verde,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.90,62.79,68.22,83.48,92.05,94.59,111.28,125.57,125.54,127.80,142.88,152.28,167.49,181.30,181.44,139.49,144.33,165.04,178.55,173.98,176.02,..,..
